City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Butaritari,KI,80.64,moderate rain,3.07,172.79,Isles Sunset Lodge
9,Coahuayana,MX,77.47,overcast clouds,18.73,-103.68,El rranchito michuacan de ocampos
11,Atuona,PF,77.59,clear sky,-9.8,-139.03,Villa Enata
12,Oistins,BB,80.69,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
14,Hun,LY,77.58,clear sky,29.13,15.95,Alrwasi Hotel
16,Izumo,JP,78.69,broken clouds,35.37,132.77,Toyoko-Inn Izumoshi ekimae
19,Cap Malheureux,MU,75.47,clear sky,-19.98,57.61,Pereybere Hotel & Spa
20,Hithadhoo,MV,83.59,scattered clouds,-0.6,73.08,Scoop Guest House
21,Corn Island,NI,80.85,clear sky,12.17,-83.04,Big Fish Guest House
22,Dingle,PH,85.98,moderate rain,11.0,122.67,SEGAYA PROPERTY
23,Mayo,US,75.15,clear sky,38.89,-76.51,Resorts Resource Group International
29,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
32,Itarema,BR,76.68,few clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
36,Katsuura,JP,75.22,light rain,35.13,140.3,Katsuura Hotel Mikazuki
39,Diffa,NE,79.41,overcast clouds,13.32,12.61,ProDAF/Diffa
47,Turkan,AZ,89.78,clear sky,40.36,50.22,Aydan qehbe
50,Cayenne,GF,75.09,broken clouds,4.93,-52.33,Hôtel Le Dronmi
51,Kavaratti,IN,81.63,overcast clouds,10.57,72.64,Dharul Hudha
59,Papara,BR,77.4,clear sky,-3.98,-38.73,Bela vista Maranguape
60,Shintomi,JP,88.92,overcast clouds,32.08,131.47,ホテルスイート
63,Alofi,NU,75.09,clear sky,-19.06,-169.92,Taloa Heights
68,Samarai,PG,78.57,overcast clouds,-10.62,150.67,Nuli Sapi
71,Kapaa,US,80.58,broken clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
72,Urumqi,CN,83.35,clear sky,43.8,87.6,Hua Ling Grand Hotel Urumqi
78,Faanui,PF,77.92,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
86,Pavlohrad,UA,75.99,overcast clouds,48.52,35.87,Kompleks Stylʹ
87,Salalah,OM,78.01,overcast clouds,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
91,Abha,SA,79.05,clear sky,18.22,42.51,Abha Hotel
92,Catuday,PH,84.24,broken clouds,16.29,119.81,Benjie's Kubo & Cottages
95,Progreso,MX,81.1,few clouds,21.28,-89.67,Playa Linda Hotel
96,Hilo,US,77.29,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
99,Ladario,BR,76.62,overcast clouds,-19.0,-57.6,Hotel Fazenda 4 cantos
102,Arlit,NE,84.2,overcast clouds,18.74,7.39,Hôtel Telwa Bungalow
105,Matara,LK,86.18,few clouds,5.95,80.54,Amaloh Boutique Resort
107,Namatanai,PG,82.63,light rain,-3.67,152.43,Seagulls Inn Namatani
115,Georgetown,MY,89.53,scattered clouds,5.41,100.34,Cititel Penang
123,Bandarbeyla,SO,85.57,overcast clouds,9.49,50.81,JABIR HOTEL
129,Solnechnyy,RU,80.33,broken clouds,50.72,136.63,Hotel complex Pastoral
130,Galle,LK,82.69,scattered clouds,6.04,80.22,Amangalla
131,Bilma,NE,85.98,few clouds,18.69,12.92,Expeditions Ténére voyages
